2025-05-09 21:36:21.466 [info] Extension host with pid 1807 started
2025-05-09 21:36:21.466 [error] Error: EEXIST: file already exists, open '/home/ubuntu/.vscode-server/data/User/workspaceStorage/d272ac4a4b4ea7205ba900fa1a73ffb6/vscode.lock'
2025-05-09 21:36:21.466 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/d272ac4a4b4ea7205ba900fa1a73ffb6/vscode.lock': Could not acquire lock, checking if the file is stale.
2025-05-09 21:36:21.474 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/d272ac4a4b4ea7205ba900fa1a73ffb6/vscode.lock': The pid 1403 appears to be gone.
2025-05-09 21:36:21.476 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/d272ac4a4b4ea7205ba900fa1a73ffb6/vscode.lock': Deleting a stale lock.
2025-05-09 21:36:21.486 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/d272ac4a4b4ea7205ba900fa1a73ffb6/vscode.lock': Lock acquired.
2025-05-09 21:36:22.319 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-05-09 21:36:22.320 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-05-09 21:36:22.321 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascriptreact'
2025-05-09 21:36:23.200 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-05-09 21:36:23.200 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-05-09 21:36:24.381 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2025-05-09 21:36:24.579 [info] Eager extensions activated
2025-05-09 21:36:24.579 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-05-09 21:36:24.580 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-05-09 21:36:24.583 [info] ExtensionService#_doActivateExtension GitHub.copilot, startup: false, activationEvent: 'onStartupFinished'
2025-05-09 21:36:24.587 [info] ExtensionService#_doActivateExtension GitHub.copilot-chat, startup: false, activationEvent: 'onStartupFinished'
2025-05-09 21:38:25.398 [info] ExtensionService#_doActivateExtension ritwickdey.LiveServer, startup: false, activationEvent: 'onStartupFinished'
2025-05-09 21:48:27.611 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2025-05-09 21:48:33.122 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-05-09 21:48:33.122 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-05-09 21:48:33.122 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2025-05-09 21:52:24.969 [info] ExtensionService#_doActivateExtension vscode.css-language-features, startup: false, activationEvent: 'onLanguage:css'
